TableName  COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
---------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Activities ActivityID                                                                                                                       int                                                                                                                                                  NULL NO         
Activities Date                                                                                                                             nvarchar                                                                                                                                               50 YES        
Activities ActivityType                                                                                                                     nvarchar                                                                                                                                               50 NO         
Activities Destination                                                                                                                      nvarchar                                                                                                                                              200 YES        
Activities LeaveTime                                                                                                                        nvarchar                                                                                                                                               50 YES        
Activities EventTime                                                                                                                        nvarchar                                                                                                                                               50 YES        
Activities ReturnTime                                                                                                                       nvarchar                                                                                                                                               50 YES        
Activities RequestedBy                                                                                                                      nvarchar                                                                                                                                              100 YES        
Activities AssignedVehicleID                                                                                                                int                                                                                                                                                  NULL YES        
Activities DriverID                                                                                                                         int                                                                                                                                                  NULL YES        
Activities Notes                                                                                                                            nvarchar                                                                                                                                               -1 YES        
Activities ActivityCategory                                                                                                                 nvarchar                                                                                                                                              100 YES        
Activities Status                                                                                                                           nvarchar                                                                                                                                               20 YES        
Activities ApprovalRequired                                                                                                                 bit                                                                                                                                                  NULL NO         
Activities Approved                                                                                                                         bit                                                                                                                                                  NULL NO         
Activities ApprovedBy                                                                                                                       nvarchar                                                                                                                                              100 YES        
Activities EstimatedCost                                                                                                                    decimal                                                                                                                                              NULL YES        
Activities ActualCost                                                                                                                       decimal                                                                                                                                              NULL YES        
Activities CreatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Activities CreatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        
Activities UpdatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Activities UpdatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        
Activities StudentsCount                                                                                                                    int                                                                                                                                                  NULL YES        
Activities DistanceMiles                                                                                                                    decimal                                                                                                                                              NULL YES        
Activities EstimatedTravelTime                                                                                                              time                                                                                                                                                 NULL YES        
Activities RouteId                                                                                                                          int                                                                                                                                                  NULL YES        
Activities ApprovalDate                                                                                                                     datetime2                                                                                                                                            NULL YES        
Activities DestinationLatitude                                                                                                              decimal                                                                                                                                              NULL YES        
Activities DestinationLongitude                                                                                                             decimal                                                                                                                                              NULL YES        
Activities Directions                                                                                                                       nvarchar                                                                                                                                              500 YES        
Activities PickupLatitude                                                                                                                   decimal                                                                                                                                              NULL YES        
Activities PickupLocation                                                                                                                   nvarchar                                                                                                                                              200 YES        
Activities PickupLongitude                                                                                                                  decimal                                                                                                                                              NULL YES        

(33 rows affected)
TableName    COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
------------ -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
ActivityLogs Id                                                                                                                               int                                                                                                                                                  NULL NO         
ActivityLogs Timestamp                                                                                                                        datetime2                                                                                                                                            NULL NO         
ActivityLogs Action                                                                                                                           nvarchar                                                                                                                                              200 NO         
ActivityLogs User                                                                                                                             nvarchar                                                                                                                                              100 NO         
ActivityLogs Details                                                                                                                          nvarchar                                                                                                                                             1000 YES        

(5 rows affected)
TableName        COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
---------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
ActivitySchedule ScheduleID                                                                                                                       int                                                                                                                                                  NULL NO         
ActivitySchedule Date                                                                                                                             nvarchar                                                                                                                                               50 YES        
ActivitySchedule TripType                                                                                                                         nvarchar                                                                                                                                              100 YES        
ActivitySchedule ScheduledVehicleID                                                                                                               int                                                                                                                                                  NULL YES        
ActivitySchedule ScheduledDestination                                                                                                             nvarchar                                                                                                                                              200 YES        
ActivitySchedule ScheduledLeaveTime                                                                                                               nvarchar                                                                                                                                               50 YES        
ActivitySchedule ScheduledEventTime                                                                                                               nvarchar                                                                                                                                               50 YES        
ActivitySchedule ScheduledReturnTime                                                                                                              nvarchar                                                                                                                                               50 YES        
ActivitySchedule ScheduledRiders                                                                                                                  int                                                                                                                                                  NULL YES        
ActivitySchedule ScheduledDriverID                                                                                                                int                                                                                                                                                  NULL YES        
ActivitySchedule Notes                                                                                                                            nvarchar                                                                                                                                               -1 YES        

(11 rows affected)
TableName COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
--------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Drivers   DriverID                                                                                                                         int                                                                                                                                                  NULL NO         
Drivers   DriverName                                                                                                                       nvarchar                                                                                                                                              100 YES        
Drivers   DriverPhone                                                                                                                      nvarchar                                                                                                                                               20 YES        
Drivers   DriverEmail                                                                                                                      nvarchar                                                                                                                                              100 YES        
Drivers   Address                                                                                                                          nvarchar                                                                                                                                              200 YES        
